gene	log2FC	pvalue	padj
ENSG00000015153	-0.06752564231582259	0.528682105788099	
ENSG00000015171	-0.2178938184571182	0.04908919462461341	
ENSG00000015285	0.11825623318776612	0.5965578431975154	
ENSG00000015413	1.4844035674588842	0.10308151457668614	
ENSG00000015475	-0.6095760078693555	0.00039779531564567073	
ENSG00000015479	-0.08373503117608116	0.37944497599380667	
ENSG00000015520	0.680405240110233	0.002503929630172757	
ENSG00000015532	0.2273815777407311	0.050606698864966174	
ENSG00000015568	-0.015509636893877854	0.9799824001599	
ENSG00000015592	-0.7304833707523359	0.2573890335826219	
ENSG00000015676	-0.1384340729889555	0.05899338609455095	
ENSG00000016082	1.5982398780545424	0.06598685462346873	
ENSG00000016391	-2.1991416412657014	6.444817521947446e-05	
ENSG00000016402	-1.1665818816492828	0.008446576877034014	
ENSG00000016490	0.7917949270670501	0.1608634730138854	
ENSG00000016602	-0.2810953434421517	0.7804690883109797	
ENSG00000016864	-0.031956042748412905	0.573504552246191	
ENSG00000017260	0.16967430068650913	0.12218033413241758	
ENSG00000017373	1.4194445796136108	1.856605227327362e-05	
ENSG00000017427	0.7843637806224144	0.0038917959561270256	
ENSG00000017483	0.056264201597318486	0.8687885060948074	
ENSG00000017621	0.07305365327946278	0.6944188810012664	
ENSG00000017797	-0.10871073893980654	0.25514179953809285	
ENSG00000018189	0.13342040856867143	0.24895389599103634	
ENSG00000018236	0.07389672570060868	0.764398408656922	
ENSG00000018280	0.1415095975279388	0.6222780653598687	
ENSG00000018408	-0.10195275835690243	0.4762422085810144	
ENSG00000018510	0.09735729224520817	0.4439656002192097	
ENSG00000018607	0.7307944418446297	0.243453155048783	
ENSG00000018610	0.007169228491099133	0.948574442832985	
ENSG00000018625	0.14662282362925527	0.3828188837508295	
ENSG00000018699	-0.03679066390879315	0.7501586626410314	
ENSG00000018869	0.014520132273613928	0.9192263977047702	
ENSG00000019102	0.40788996115043297	0.008153878224231987	
ENSG00000019144	0.5852815472061437	1.48654339828693e-06	
ENSG00000019169	-1.507220710864285	0.009595172743515016	
ENSG00000019186	2.4706107312137613	0.32398502626512715	
ENSG00000019485	0.15955171227240372	0.18819716409400436	
ENSG00000019505	-1.005204389634126	0.013472570223349634	
ENSG00000019549	-0.08172596105078656	0.6680279812275542	
ENSG00000019582	0.9169290940035904	6.437842630053081e-07	
ENSG00000019991	-0.13709156143038181	0.5830427188297745	
ENSG00000019995	-0.2379930539668953	0.16889815630003052	
ENSG00000020129	0.6591774059251438	3.049662199744527e-08	
ENSG00000020181	0.6714412384737893	0.0010364960569572074	
ENSG00000020219	2.7010100847907443	0.006582433142632532	
ENSG00000020256	-0.14507793530991675	0.0812096368500052	
ENSG00000020426	-0.11598255495535881	0.24860109226475782	
ENSG00000020577	20.9237258089293	0.006351934227144774	
ENSG00000020633	0.5522898929215719	0.030728030715637577	
ENSG00000020922	-0.3092788856247135	0.0037115834662818136	
ENSG00000021300	0.8522830202255975	1.2536195575588857e-05	
ENSG00000021355	-0.4196120566750352	0.003913206124996923	
ENSG00000021461	-0.4877300841257117	0.29155070601336136	
ENSG00000021488	1.0299304590912883	0.0014900972915502465	
ENSG00000021574	0.3211855517106269	0.0096394427139241	
ENSG00000021645	0.47779653937053723	0.008892790605598373	
ENSG00000021762	0.40565049249810237	0.0003519586306837398	
ENSG00000021776	-0.14302961109809242	0.048938066854427205	
ENSG00000021826	0.039669044715346435	0.8682469992102271	
ENSG00000021852	0.7584714438971538	0.32398502626512715	
ENSG00000022267	0.697738675723155	0.022844151958332327	
ENSG00000022277	0.011335910346065958	0.8743112499438446	
ENSG00000022355	1.7983377997155916	0.15716846520254885	
ENSG00000022556	-0.007116944179576867	0.9898995908127655	
ENSG00000022567	-0.17529289103843615	0.10114918877417972	
ENSG00000022840	-0.15178058583025233	0.1655362844629382	
ENSG00000022976	0.4106864433468802	0.00015479597724279385	
ENSG00000023041	-0.15551274229403234	0.045619346946078845	
ENSG00000023171	-0.0462704661733615	0.7726889756863873	
ENSG00000023191	0.07123296336681229	0.4901546853976543	
