GeneID	Symbol	Description	log2(fold change)(Control vs DCM)	-log10(Pvalue)(Control vs DCM)
374618	TEX9	testis expressed 9	-0.951	4.008
55329	MNS1	meiosis specific nuclear structural 1	-0.575	2.214
145783	TCF12-DT	TCF12 divergent transcript	0.333	4.32
84952	CGNL1	cingulin like 1	-0.658	2.855
145781	GCOM1	GCOM1, MYZAP-POLR2M combined locus	0.253	1.439
81488	POLR2M	RNA polymerase II subunit M	-0.505	7.073
8854	ALDH1A2	aldehyde dehydrogenase 1 family member A2	-0.637	2.732
79811	SLTM	SAFB like transcription modulator	0.545	7.373
9133	CCNB2	cyclin B2	1.577	5.033
145773	FAM81A	family with sequence similarity 81 member A	1.224	4.367
2958	GTF2A2	general transcription factor IIA subunit 2	0.308	3.895
302	ANXA2	annexin A2	0.307	1.756
101928784	RORA-AS1	RORA antisense RNA 1	-0.62	2.71
54832	VPS13C	vacuolar protein sorting 13 homolog C	0.254	1.98
388125	C2CD4B	C2 calcium dependent domain containing 4B	-0.907	2.674
105370854	LOC105370854	uncharacterized LOC105370854	-0.352	1.313
7168	TPM1	tropomyosin 1	0.301	2.259
114294	LACTB	lactamase beta	0.647	9.051
51065	RPS27L	ribosomal protein S27 like	0.423	4.383
84191	CIAO2A	cytosolic iron-sulfur assembly component 2A	0.389	5.921
79856	SNX22	sorting nexin 22	0.274	1.747
5479	PPIB	peptidylprolyl isomerase B	0.313	1.936
23060	ZNF609	zinc finger protein 609	0.226	2.648
4947	OAZ2	ornithine decarboxylase antizyme 2	-0.244	2.087
348093	RBPMS2	RNA binding protein, mRNA processing factor 2	0.362	4.547
80301	PLEKHO2	pleckstrin homology domain containing O2	-0.238	1.385
348094	ANKDD1A	ankyrin repeat and death domain containing 1A	-0.396	2.24
123263	MTFMT	mitochondrial methionyl-tRNA formyltransferase	0.184	1.49
51285	RASL12	RAS like family 12	0.499	4.486
390594	KBTBD13	kelch repeat and BTB domain containing 13	0.853	4.031
10081	PDCD7	programmed cell death 7	-0.187	1.989
10845	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit X	0.19	3.285
54878	DPP8	dipeptidyl peptidase 8	0.373	4.668
10260	DENND4A	DENN domain containing 4A	0.319	4.622
84465	MEGF11	multiple EGF like domains 11	-0.282	2.548
115752	DIS3L	DIS3 like exosome 3'-5' exoribonuclease	0.346	3.925
4091	SMAD6	SMAD family member 6	-0.622	2.809
105376718	LOC105376718	uncharacterized LOC105376718	-1.21	4.748
54982	CLN6	CLN6 transmembrane ER protein	-0.435	5.47
22801	ITGA11	integrin subunit alpha 11	0.593	1.964
55323	LARP6	La ribonucleoprotein 6, translational regulator	0.462	3.885
56906	THAP10	THAP domain containing 10	-0.369	2.544
196993	CT62	cancer/testis associated 62	0.658	3.227
79875	THSD4	thrombospondin type 1 domain containing 4	-0.407	3.18
4649	MYO9A	myosin IXA	0.316	3.095
5315	PKM	pyruvate kinase M1/2	0.291	4.286
56965	PARP6	poly(ADP-ribose) polymerase family member 6	0.462	9.742
60677	CELF6	CUGBP Elav-like family member 6	-0.497	3.412
80381	CD276	CD276 molecule	0.498	4.259
388135	INSYN1	inhibitory synaptic factor 1	0.952	8.337
4016	LOXL1	lysyl oxidase like 1	-0.681	1.545
5371	PML	PML nuclear body scaffold	-0.437	9.608
57611	ISLR2	immunoglobulin superfamily containing leucine rich repeat 2	-1.144	4.66
283731	LOC283731	uncharacterized LOC283731	-0.652	1.489
3671	ISLR	immunoglobulin superfamily containing leucine rich repeat	-1.46	12.272
1583	CYP11A1	cytochrome P450 family 11 subfamily A member 1	-1.329	5.804
84993	UBL7	ubiquitin like 7	-0.225	3.405
10620	ARID3B	AT-rich interaction domain 3B	-0.235	2.164
102723750	LOC102723750	uncharacterized LOC102723750	-1.036	7.237
1445	CSK	C-terminal Src kinase	0.407	4.769
79748	LMAN1L	lectin, mannose binding 1 like	1.562	4.714
594855	CPLX3	complexin 3	2.016	6.5
25989	ULK3	unc-51 like kinase 3	0.271	4.591
4351	MPI	mannose phosphate isomerase	0.265	2.115
57184	FAM219B	family with sequence similarity 219 member B	0.246	1.876
192683	SCAMP5	secretory carrier membrane protein 5	-1.287	6.492
54939	COMMD4	COMM domain containing 4	-0.336	3.966
79661	NEIL1	nei like DNA glycosylase 1	-0.393	7.073
4123	MAN2C1	mannosidase alpha class 2C member 1	-0.532	8.406
5780	PTPN9	protein tyrosine phosphatase non-receptor type 9	-0.443	3.742
105370902	LOC105370902	uncharacterized LOC105370902	-0.586	2.193
1464	CSPG4	chondroitin sulfate proteoglycan 4	-0.564	3.057
92912	UBE2Q2	ubiquitin conjugating enzyme E2 Q2	-0.326	2.234
26263	FBXO22	F-box protein 22	0.26	4.739
2108	ETFA	electron transfer flavoprotein subunit alpha	0.213	1.855
49855	SCAPER	S-phase cyclin A associated protein in the ER	0.4	6.452
9051	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1	0.645	3.128
3419	IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha	0.518	4.197
23205	ACSBG1	acyl-CoA synthetase bubblegum family member 1	0.449	3.323
5685	PSMA4	proteasome 20S subunit alpha 4	0.436	4.924
1136	CHRNA3	cholinergic receptor nicotinic alpha 3 subunit	-2.083	6.147
11173	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	0.485	1.408
390616	ANKRD34C	ankyrin repeat domain 34C	-1.666	4.531
23423	TMED3	transmembrane p24 trafficking protein 3	0.332	1.458
100528021	ST20-MTHFS	ST20-MTHFS readthrough	0.256	1.584
10588	MTHFS	methenyltetrahydrofolate synthetase	0.239	1.338
2184	FAH	fumarylacetoacetate hydrolase	0.296	1.831
100996492	CTXND1	cortexin domain containing 1	0.729	1.339
107984749	LOC107984749		-0.452	1.327
23184	MESD	mesoderm development LRP chaperone	0.247	4.192
59274	TLNRD1	talin rod domain containing 1	-0.447	3.669
3603	IL16	interleukin 16	-0.416	1.898
80765	STARD5	StAR related lipid transfer domain containing 5	-0.412	2.043
79631	EFL1	elongation factor like GTPase 1	0.525	7.939
642402	GOLGA6L17P	golgin A6 family like 17, pseudogene	0.323	1.69
6218	RPS17	ribosomal protein S17	0.546	5.269
64506	CPEB1	cytoplasmic polyadenylation element binding protein 1	-0.933	3.622
283693	ACTG1P17	actin gamma 1 pseudogene 17	-0.635	1.529
100505616	SNHG21	small nucleolar RNA host gene 21	0.41	2.143
123722	FSD2	fibronectin type III and SPRY domain containing 2	0.775	4.387
9455	HOMER2	homer scaffold protein 2	0.262	2.39
83640	RAMAC	RNA guanine-7 methyltransferase activating subunit	0.249	4.289
53346	TM6SF1	transmembrane 6 superfamily member 1	-0.297	1.622
57188	ADAMTSL3	ADAMTS like 3	-0.322	1.595
648809	EFL1P1	elongation factor like GTPase 1 pseudogene 1	0.483	5.003
440299	DNM1P41	dynamin 1 pseudogene 41	-0.481	2.375
100505679	UBE2Q2P16	UBE2Q2 pseudogene 16	-0.776	2.633
440300	LOC440300	chondroitin sulfate proteoglycan 4 pseudogene	-0.478	1.894
102724093	LOC102724093	golgin subfamily A member 6-like protein 4	-0.232	1.461
105376722	LOC105376722	uncharacterized LOC105376722	-1.244	6.653
112267869	LOC112267869		-0.586	1.521
388165	UBE2Q2P1	UBE2Q2 pseudogene 1	0.337	1.621
54993	ZSCAN2	zinc finger and SCAN domain containing 2	0.252	3.139
54581	SCAND2P	SCAN domain containing 2 pseudogene	-0.254	3.847
84942	WDR73	WD repeat domain 73	-0.222	3.713
23478	SEC11A	SEC11 homolog A, signal peptidase complex subunit	0.174	2.59
57538	ALPK3	alpha kinase 3	-0.505	3.665
100133220	GOLGA6L3P	golgin A6 family like 3, pseudogene	0.272	1.309
102724393	LOC102724393		-0.968	2.212
26589	MRPL46	mitochondrial ribosomal protein L46	0.33	2.383
64963	MRPS11	mitochondrial ribosomal protein S11	0.211	2.302
176	ACAN	aggrecan	-1.418	2.749
145864	HAPLN3	hyaluronan and proteoglycan link protein 3	-0.835	3.648
55215	FANCI	FA complementation group I	0.274	3.158
5428	POLG	DNA polymerase gamma, catalytic subunit	0.203	2.548
254559	MIR9-3HG	MIR9-3 host gene	-1.149	6.906
51458	RHCG	Rh family C glycoprotein	-2.806	6.491
374654	KIF7	kinesin family member 7	-0.768	7.171
3418	IDH2	isocitrate dehydrogenase (NADP(+)) 2	0.436	2.444
10509	SEMA4B	semaphorin 4B	0.413	2.132
390637	GDPGP1	GDP-D-glucose phosphorylase 1	-0.351	2.09
51335	NGRN	neugrin, neurite outgrowth associated	0.373	5.69
8826	IQGAP1	IQ motif containing GTPase activating protein 1	0.232	1.506
64784	CRTC3	CREB regulated transcription coactivator 3	-0.176	2.647
641	BLM	BLM RecQ like helicase	1.664	6.088
5045	FURIN	furin, paired basic amino acid cleaving enzyme	0.429	4.54
4122	MAN2A2	mannosidase alpha class 2A member 2	0.771	9.942
374659	HDDC3	HD domain containing 3	0.456	7.116
55898	UNC45A	unc-45 myosin chaperone A	-0.233	3.039
26276	VPS33B	VPS33B late endosome and lysosome associated	-0.137	1.309
28232	SLCO3A1	solute carrier organic anion transporter family member 3A1	0.358	8.739
8128	ST8SIA2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	-0.844	2.975
100507217	CHASERR	CHD2 adjacent suppressive regulatory RNA	-0.242	2.363
1106	CHD2	chromodomain helicase DNA binding protein 2	0.177	2.002
56963	RGMA	repulsive guidance molecule BMP co-receptor a	0.406	2.471
440311	LOC440311	NOP53 ribosome biogenesis factor pseudogene	-0.422	3.802
145820	LINC00924	long intergenic non-protein coding RNA 924	0.645	3.118
104472848	IRAIN	IGF1R antisense imprinted non-protein coding RNA	-0.859	2.96
3480	IGF1R	insulin like growth factor 1 receptor	-0.365	2.758
145814	PGPEP1L	pyroglutamyl-peptidase I like	-0.638	1.604
107984740	LOC107984740		-1.215	2.742
55180	LINS1	lines homolog 1	-0.164	1.345
79705	LRRK1	leucine rich repeat kinase 1	-0.391	2.337
55829	SELENOS	selenoprotein S	0.211	1.433
6627	SNRPA1	small nuclear ribonucleoprotein polypeptide A'	0.379	5.711
5046	PCSK6	proprotein convertase subtilisin/kexin type 6	-0.414	2.194
107984751	LOC107984751		0.655	1.687
107987228	LOC107987228	uncharacterized LOC107987228	0.678	2.224
105371028	LOC105371028		1.436	2.092
101927505	LINC02348	long intergenic non-protein coding RNA 2348	1.001	1.701
123283	TARS3	threonyl-tRNA synthetase 3	0.441	5.629
100128108	UBE2Q2P13	UBE2Q2 pseudogene 13	-0.752	3.402
105371030	LOC105371030		-0.981	2.282
100288486	DDX11L9	DEAD/H-box helicase 11 like 9 (pseudogene)	0.962	2.138
100287029	DDX11L10	DEAD/H-box helicase 11 like 10 (pseudogene)	0.89	2.166
64285	RHBDF1	rhomboid 5 homolog 1	-0.386	2.757
8131	NPRL3	NPR3 like, GATOR1 complex subunit	-0.285	3.377
3040	HBA2	hemoglobin subunit alpha 2	-2.273	7.856
3039	HBA1	hemoglobin subunit alpha 1	-2.177	7.248
55692	LUC7L	LUC7 like	-0.312	4.29
8786	RGS11	regulator of G protein signaling 11	-0.699	4.347
8312	AXIN1	axin 1	0.249	2.154
4833	NME4	NME/NM23 nucleoside diphosphate kinase 4	-0.184	1.474
26063	DECR2	2,4-dienoyl-CoA reductase 2	-0.404	2.501
9727	RAB11FIP3	RAB11 family interacting protein 3	-0.364	4.282
6650	CAPN15	calpain 15	-0.317	4.283
283948	NHLRC4	NHL repeat containing 4	-0.718	2.448
9091	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q	-0.428	4.4
84326	METTL26	methyltransferase like 26	-0.216	1.529
105371038	LOC105371038	uncharacterized LOC105371038	1.055	10.53
197335	WDR90	WD repeat domain 90	-0.705	10.685
89941	RHOT2	ras homolog family member T2	-0.24	3.546
9028	RHBDL1	rhomboid like 1	-0.529	2.55
146330	FBXL16	F-box and leucine rich repeat protein 16	-1.585	4.518
79006	METRN	meteorin, glial cell differentiation regulator	-0.665	9.236
65990	ANTKMT	adenine nucleotide translocase lysine methyltransferase	-0.518	3.607
124093	CCDC78	coiled-coil domain containing 78	-0.672	3.306
63922	CHTF18	chromosome transmission fidelity factor 18	-0.556	5.568
64788	LMF1	lipase maturation factor 1	-0.733	8.501
30812	SOX8	SRY-box transcription factor 8	-1.598	11.078
146336	SSTR5-AS1	SSTR5 antisense RNA 1	1.358	1.832
6755	SSTR5	somatostatin receptor 5	1.223	1.379
64499	TPSB2	tryptase beta 2	-0.64	1.687
7177	TPSAB1	tryptase alpha/beta 1	-0.512	1.458
23430	TPSD1	tryptase delta 1	-0.85	1.963
7329	UBE2I	ubiquitin conjugating enzyme E2 I	0.197	3.197
105371044	LOC105371044	uncharacterized LOC105371044	-0.681	1.636
645811	CCDC154	coiled-coil domain containing 154	-0.741	4.155
9894	TELO2	telomere maintenance 2	-0.487	4.674
79652	TMEM204	transmembrane protein 204	-0.781	5.297
57585	CRAMP1	cramped chromatin regulator homolog 1	-0.19	2.474
23162	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3	-0.291	2.331
4832	NME3	NME/NM23 nucleoside diphosphate kinase 3	-0.734	7.891
65993	MRPS34	mitochondrial ribosomal protein S34	0.481	7.486
10101	NUBP2	NUBP iron-sulfur cluster assembly factor 2, cytosolic	-0.211	1.928
81889	FAHD1	fumarylacetoacetate hydrolase domain containing 1	0.517	3.59
6123	RPL3L	ribosomal protein L3 like	0.206	1.551
4716	NDUFB10	NADH:ubiquinone oxidoreductase subunit B10	0.377	2.81
6187	RPS2	ribosomal protein S2	0.295	1.809
10607	TBL3	transducin beta like 3	-0.267	2.601
7249	TSC2	TSC complex subunit 2	-0.286	6.866
5310	PKD1	polycystin 1, transient receptor potential channel interacting	-0.432	5.094
105371049	PKD1-AS1	PKD1 antisense RNA 1	-0.757	7.048
100507303	SNHG19	small nucleolar RNA host gene 19	-0.51	2.294
57524	CASKIN1	CASK interacting protein 1	0.77	5.648
64223	MLST8	MTOR associated protein, LST8 homolog	0.174	1.916
283870	BRICD5	BRICHOS domain containing 5	-0.437	3.661
283871	PGP	phosphoglycolate phosphatase	0.202	1.345
1877	E4F1	E4F transcription factor 1	-0.22	2.91
1775	DNASE1L2	deoxyribonuclease 1 like 2	-0.621	1.401
107984839	LOC107984839	uncharacterized LOC107984839	-1.459	5.649
51005	AMDHD2	amidohydrolase domain containing 2	-0.365	2.829
752014	CEMP1	cementum protein 1	-0.388	2.942
84256	FLYWCH1	FLYWCH-type zinc finger 1	-0.335	3.275
9088	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	0.369	1.535
64386	MMP25	matrix metallopeptidase 25	-0.921	3.262
100507419	MMP25-AS1	MMP25 antisense RNA 1	-0.735	5.095
9235	IL32	interleukin 32	-0.469	1.522
81854	ZNF205-AS1	ZNF205 antisense RNA 1	0.257	1.615
7760	ZNF213	zinc finger protein 213	-0.245	2.339
7752	ZNF200	zinc finger protein 200	-0.194	1.931
7727	ZNF174	zinc finger protein 174	0.407	5.752
146434	ZNF597	zinc finger protein 597	-0.226	1.717
197358	NLRC3	NLR family CARD domain containing 3	-0.383	2.642
101929732	LOC101929732	uncharacterized LOC101929732	-0.451	1.343
102724927	LINC02861	long intergenic non-protein coding RNA 2861	0.471	1.367
115	ADCY9	adenylate cyclase 9	0.547	11.513
6345	SRL	sarcalumenin	0.314	3.069
84662	GLIS2	GLIS family zinc finger 2	-0.604	3.037
100529144	CORO7-PAM16	CORO7-PAM16 readthrough	-0.173	1.712
79585	CORO7	coronin 7	-0.476	5.447
9093	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	0.236	2.248
3163	HMOX2	heme oxygenase 2	0.919	10.443
29965	CDIP1	cell death inducing p53 target 1	-0.193	1.814
124401	ANKS3	ankyrin repeat and sterile alpha motif domain containing 3	-0.272	3.031
26048	ZNF500	zinc finger protein 500	-0.327	4.22
84656	GLYR1	glyoxylate reductase 1 homolog	0.263	3.26
29855	UBN1	ubinuclein 1	0.26	1.348
5493	PPL	periplakin	1.182	12.061
105371064	LOC105371064	uncharacterized LOC105371064	1.27	8.997
9717	SEC14L5	SEC14 like lipid binding 5	1.37	2.996
146556	C16orf89	chromosome 16 open reading frame 89	-1.285	3.402
54715	RBFOX1	RNA binding fox-1 homolog 1	0.341	1.68
7874	USP7	ubiquitin specific peptidase 7	0.355	8.419
101927009	LINC02177	long intergenic non-protein coding RNA 2177	2.49	6.01
2903	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	2.045	6.421
4682	NUBP1	NUBP iron-sulfur cluster assembly factor 1, cytosolic	0.325	4.925
780776	TVP23A	trans-golgi network vesicle protein 23 homolog A	0.298	5.179
4261	CIITA	class II major histocompatibility complex transactivator	0.257	1.323
28955	DEXI	Dexi homolog	0.344	3.079
23274	CLEC16A	C-type lectin domain containing 16A	0.333	3.335
8651	SOCS1	suppressor of cytokine signaling 1	-0.803	2.149
116028	RMI2	RecQ mediated genome instability 2	-0.819	1.87
400499	LOC400499	putative uncharacterized protein LOC400499	-0.695	2.249
105371084	RSL1D1-DT	RSL1D1 divergent transcript	0.532	9.691
2935	GSPT1	G1 to S phase transition 1	0.351	11.165
55313	CPPED1	calcineurin like phosphoesterase domain containing 1	0.19	1.321
101927311	LINC02185	long intergenic non-protein coding RNA 2185	0.842	3.046
100129781	MIR193BHG	MIR193b-365a host gene	-0.43	1.849
105371094	LOC105371094	uncharacterized LOC105371094	0.932	3.308
23420	NOMO1	NODAL modulator 1	0.284	1.617
109951030	PKD1P3-NPIPA1	PKD1P3-NPIPA1 readthrough	-0.323	2.843
100288162	LOC100288162	uncharacterized LOC100288162	-0.436	3.775
23042	PDXDC1	pyridoxal dependent decarboxylase domain containing 1	0.242	5.656
123803	NTAN1	N-terminal asparagine amidase	0.757	9.77
54700	RRN3	RRN3 homolog, RNA polymerase I transcription factor	-0.464	4.999
100505915	LOC100505915	uncharacterized LOC100505915	0.285	1.678
9665	MARF1	meiosis regulator and mRNA stability factor 1	0.195	2.095
54820	NDE1	nudE neurodevelopment protein 1	-0.529	6.656
4629	MYH11	myosin heavy chain 11	-0.861	3.063
123811	CEP20	centrosomal protein 20	0.15	2.61
4363	ABCC1	ATP binding cassette subfamily C member 1	0.195	1.329
339044	PKD1P1	polycystin 1, transient receptor potential channel interacting pseudogene 1	-0.293	2.738
110006323	PKD1P4-NPIPA8	PKD1P4-NPIPA8 readthrough	-0.35	3.863
110006322	PKD1P5-LOC105376752	PKD1P5-LOC105376752 readthrough	-0.304	3.232
283820	NOMO2	NODAL modulator 2	0.284	1.422
162073	ITPRIPL2	ITPRIP like 2	-0.368	1.997
51760	SYT17	synaptotagmin 17	-0.725	2.458
51573	GDE1	glycerophosphodiester phosphodiesterase 1	0.367	7.228
57020	VPS35L	VPS35 endosomal protein sorting factor like	-0.216	5.344
400506	KNOP1	lysine rich nucleolar protein 1	0.602	3.142
124152	IQCK	IQ motif containing K	0.247	1.664
51704	GPRC5B	G protein-coupled receptor class C group 5 member B	0.377	2.898
57149	LYRM1	LYR motif containing 1	0.471	6.484
1428	CRYM	crystallin mu	-0.956	5.715
51108	METTL9	methyltransferase like 9	0.121	1.43
10261	IGSF6	immunoglobulin superfamily member 6	0.783	2.235
730092	RRN3P1	RRN3 pseudogene 1	-0.265	2.777
255762	PDZD9	PDZ domain containing 9	0.334	2.549
105371129	LOC105371129	uncharacterized LOC105371129	0.369	2.671
55718	POLR3E	RNA polymerase III subunit E	0.182	2.571
1039	CDR2	cerebellar degeneration related protein 2	-0.321	2.021
100131998	RRN3P3	RRN3 pseudogene 3	-0.305	2.733
91949	COG7	component of oligomeric golgi complex 7	-0.199	2.533
4706	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	0.322	1.752
79728	PALB2	partner and localizer of BRCA2	0.229	2.257
5347	PLK1	polo like kinase 1	0.387	1.436
50615	IL21R	interleukin 21 receptor	-0.919	1.751
23247	KATNIP	katanin interacting protein	-0.58	8.602
100128079	LOC100128079	uncharacterized LOC100128079	-0.38	1.305
146395	GSG1L	GSG1 like	-3.62	7.57
23214	XPO6	exportin 6	-0.215	6.346
1201	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin	0.206	1.452
26471	NUPR1	nuclear protein 1, transcriptional regulator	0.609	2.572
6799	SULT1A2	sulfotransferase family 1A member 2	-0.34	1.767
100507607	NPIPB9	nuclear pore complex interacting protein family member B9	-0.339	3.702
100616256	MIR4721	microRNA 4721	-0.388	2.875
25970	SH2B1	SH2B adaptor protein 1	-0.134	1.384
487	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	-0.662	5.749
27040	LAT	linker for activation of T cells	-0.552	3.617
653390	RRN3P2	RRN3 pseudogene 2	-0.279	2.732
107984833	LOC107984833		-0.768	1.352
552900	BOLA2	bolA family member 2	0.48	4.945
388242	LOC388242	SAGA complex associated factor 29 pseudogene	-0.713	3.755
6693	SPN	sialophorin	-1.122	6.754
4150	MAZ	MYC associated zinc finger protein	0.466	4.786
112268170	LOC112268170	translation initiation factor IF-2-like	0.451	4.921
112476	PRRT2	proline rich transmembrane protein 2	-0.659	2.798
10423	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	-0.371	5.784
26470	SEZ6L2	seizure related 6 homolog like 2	-1.138	3.841
253980	KCTD13	potassium channel tetramerization domain containing 13	-0.311	4.127
9344	TAOK2	TAO kinase 2	-0.184	3.419
8479	HIRIP3	HIRA interacting protein 3	0.199	2.98
283899	INO80E	INO80 complex subunit E	-0.233	2.414
5531	PPP4C	protein phosphatase 4 catalytic subunit	-0.21	3.061
6911	TBX6	T-box transcription factor 6	0.449	1.513
654483	BOLA2B	bolA family member 2B	0.668	6.772
613038	LOC613038	SAGA complex associated factor 29 pseudogene	-0.744	4.086
1731	SEPTIN1	septin 1	-0.589	3.449
22928	SEPHS2	selenophosphate synthetase 2	0.241	3.676
79724	ZNF768	zinc finger protein 768	0.449	8.481
65988	ZNF747	zinc finger protein 747	-0.231	2.429
107984875	ZNF747-DT	ZNF747 divergent transcript	0.363	3.319
115509	ZNF689	zinc finger protein 689	-0.246	2.912
730183	LOC730183	uncharacterized LOC730183	0.412	2.064
100862671	TMEM265	transmembrane protein 265	-0.324	2.554
90835	CFAP119	cilia and flagella associated protein 119	0.366	3.369
101928736	MIR762HG	MIR762 host gene	0.212	2.08
1489	CTF1	cardiotrophin 1	-0.822	11.036
112755	STX1B	syntaxin 1B	-1.395	7.501
6810	STX4	syntaxin 4	0.314	4.843
101928762	LOC101928762	uncharacterized LOC101928762	-0.499	3.998
9726	ZNF646	zinc finger protein 646	-0.242	3.581
339105	PRSS53	serine protease 53	-0.509	3.159
283933	ZNF843	zinc finger protein 843	-0.751	4.365
79798	ARMC5	armadillo repeat containing 5	-0.423	4.503
7041	TGFB1I1	transforming growth factor beta 1 induced transcript 1	-0.405	2.428
6524	SLC5A2	solute carrier family 5 member 2	-0.6	10.187
64755	RUSF1	RUS family member 1	-0.539	8.591
107983990	LOC107983990	uncharacterized LOC107983990	0.435	2.885
10308	ZNF267	zinc finger protein 267	0.306	1.935
100289574	HERC2P4	HERC2 pseudogene 4	0.487	1.57
55737	VPS35	VPS35 retromer complex component	0.121	1.315
84706	GPT2	glutamic--pyruvic transaminase 2	0.966	6.729
81533	ITFG1	integrin alpha FG-GAP repeat containing 1	0.223	1.953
5257	PHKB	phosphorylase kinase regulatory subunit beta	0.257	3.385
83752	LONP2	lon peptidase 2, peroxisomal	0.174	2.796
6477	SIAH1	siah E3 ubiquitin protein ligase 1	-0.145	2.449
9683	N4BP1	NEDD4 binding protein 1	0.26	4.327
869	CBLN1	cerebellin 1 precursor	-0.834	2.912
102724859	LOC102724859	uncharacterized LOC102724859	-0.569	1.352
23090	ZNF423	zinc finger protein 423	-0.415	1.443
255919	CNEP1R1	CTD nuclear envelope phosphatase 1 regulatory subunit 1	-0.159	1.351
29117	BRD7	bromodomain containing 7	0.173	2.009
64127	NOD2	nucleotide binding oligomerization domain containing 2	0.543	1.608
5934	RBL2	RB transcriptional corepressor like 2	0.173	1.852
643911	CRNDE	colorectal neoplasia differentially expressed	-0.8	3.473
79190	IRX6	iroquois homeobox 6	-1.456	4.923
4313	MMP2	matrix metallopeptidase 2	-0.638	4.077
2775	GNAO1	G protein subunit alpha o1	0.582	1.334
4493	MT1E	metallothionein 1E	-0.674	1.955
4498	MT1JP	metallothionein 1J, pseudogene	-0.958	1.915
4495	MT1G	metallothionein 1G	-1.129	2.017
9688	NUP93	nucleoporin 93	-0.143	2.405
80011	PSME3IP1	proteasome activator subunit 3 interacting protein 1	0.256	9.023
89970	RSPRY1	ring finger and SPRY domain containing 1	0.153	2.124
6376	CX3CL1	C-X3-C motif chemokine ligand 1	-0.79	7.326
57017	COQ9	coenzyme Q9	0.486	6.603
5432	POLR2C	RNA polymerase II subunit C	-0.208	2.555
57567	ZNF319	zinc finger protein 319	-0.257	2.555
29070	CCDC113	coiled-coil domain containing 113	-0.757	5.083
221191	PRSS54	serine protease 54	-0.894	5.902
105371295	LINC02137	long intergenic non-protein coding RNA 2137	1.679	5.13
23019	CNOT1	CCR4-NOT transcription complex subunit 1	0.204	2.532
644649	APOOP5	apolipoprotein O pseudogene 5	-0.441	1.886
146227	BEAN1	brain expressed associated with NEDD4 1	0.758	3.233
7084	TK2	thymidine kinase 2	-0.39	10.807
123920	CMTM3	CKLF like MARVEL transmembrane domain containing 3	-0.485	3.22
1783	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	-0.182	2.002
8883	NAE1	NEDD8 activating enzyme E1 subunit 1	0.293	8.409
57546	PDP2	pyruvate dehydrogenase phosphatase catalytic subunit 2	0.416	3.23
107984821	LOC107984821	uncharacterized LOC107984821	0.631	2.315
8824	CES2	carboxylesterase 2	0.633	3.215
865	CBFB	core-binding factor subunit beta	-0.449	2.162
80262	PHAF1	phagosome assembly factor 1	-0.131	2.348
84752	B3GNT9	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9	-0.434	3.635
55336	FBXL8	F-box and leucine rich repeat protein 8	-0.483	2.601
79767	ELMO3	engulfment and cell motility 3	-0.361	2.009
26231	FBXL9P	F-box and leucine rich repeat protein, pseudogene	-0.709	3.996
25894	PLEKHG4	pleckstrin homology and RhoGEF domain containing G4	-0.407	1.435
29800	ZDHHC1	zinc finger DHHC-type containing 1	-0.482	5.429
3291	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2	-0.882	2.128
101927837	ATP6V0D1-DT	ATP6V0D1 divergent transcript	-0.521	4.827
10664	CTCF	CCCTC-binding factor	0.204	3.036
65057	ACD	ACD shelterin complex subunit and telomerase recruitment factor	-0.493	8.181
84080	ENKD1	enkurin domain containing 1	-0.254	2.098
388284	C16orf86	chromosome 16 open reading frame 86	-0.382	3.088
57610	RANBP10	RAN binding protein 10	-0.453	6.479
80152	CENPT	centromere protein T	-0.181	2.202
5699	PSMB10	proteasome 20S subunit beta 10	-0.542	6.729
3931	LCAT	lecithin-cholesterol acyltransferase	-0.597	11.984
6560	SLC12A4	solute carrier family 12 member 4	-0.24	3.064
64174	DPEP2	dipeptidase 2	-0.79	2.67
55794	DDX28	DEAD-box helicase 28	-0.293	2.243
54496	PRMT7	protein arginine methyltransferase 7	-0.225	2.494
146198	ZFP90	ZFP90 zinc finger protein	-0.158	1.43
3038	HAS3	hyaluronan synthase 3	-0.212	1.706
113455421	DERPC	DERPC proline and glycine rich nuclear protein	-0.172	2.565
54921	CHTF8	chromosome transmission fidelity factor 8	-0.172	2.565
6645	SNTB2	syntrophin beta 2	-0.281	1.481
27183	VPS4A	vacuolar protein sorting 4 homolog A	0.21	2.278
