GeneID	Symbol	Description	log2(fold change)(Control vs DCM)	-log10(Pvalue)(Control vs DCM)
54933	RHBDL2	rhomboid like 2	-0.495	1.78
105378662	LOC105378662	uncharacterized LOC105378662	-0.538	1.667
4725	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5	0.521	4.186
23499	MACF1	microtubule actin crosslinking factor 1	0.196	1.706
643314	KIAA0754	replaced by ID 23499	1.147	4.486
728448	PPIEL	peptidylprolyl isomerase E like pseudogene	-0.468	4.633
101929516	PABPC4-AS1	PABPC4 antisense RNA 1	0.27	2.11
26508	HEYL	hes related family bHLH transcription factor with YRPW motif like	-0.49	1.561
54802	TRIT1	tRNA isopentenyltransferase 1	0.29	2.033
10487	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	0.266	3.417
10269	ZMPSTE24	zinc metallopeptidase STE24	0.385	3.295
1298	COL9A2	collagen type IX alpha 2 chain	-1.266	7.247
64744	SMAP2	small ArfGAP2	-0.379	1.616
4802	NFYC	nuclear transcription factor Y subunit gamma	-0.21	3.487
163732	CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4	0.608	2.793
100507178	SLFNL1-AS1	SLFNL1 antisense RNA 1	-0.181	1.371
105378678	LOC105378678	uncharacterized LOC105378678	-0.94	2.912
59269	HIVEP3	HIVEP zinc finger 3	0.656	6.552
84217	ZMYND12	zinc finger MYND-type containing 12	-0.528	1.889
4904	YBX1	Y-box binding protein 1	0.41	5.008
374969	SVBP	small vasohibin binding protein	0.314	2.758
114625	ERMAP	erythroblast membrane associated protein (Scianna blood group)	-0.18	1.362
51058	ZNF691	zinc finger protein 691	-0.179	1.51
6513	SLC2A1	solute carrier family 2 member 1	0.538	2.223
10969	EBNA1BP2	EBNA1 binding protein 2	0.55	8.591
4352	MPL	MPL proto-oncogene, thrombopoietin receptor	-0.327	1.674
991	CDC20	cell division cycle 20	1.081	3.568
100873952	SZT2-AS1	SZT2 antisense RNA 1	-0.306	2.479
81888	HYI	hydroxypyruvate isomerase (putative)	-0.269	2.514
9682	KDM4A	lysine demethylase 4A	-0.133	1.752
101929609	LOC101929609	uncharacterized LOC101929609	0.212	1.532
55929	DMAP1	DNA methyltransferase 1 associated protein 1	-0.171	1.585
55182	RNF220	ring finger protein 220	0.371	9.067
107984950	LOC107984950	uncharacterized LOC107984950	0.764	22.652
79639	TMEM53	transmembrane protein 53	0.551	5.802
11004	KIF2C	kinesin family member 2C	0.372	1.736
1263	PLK3	polo like kinase 3	-0.545	4.002
149478	BTBD19	BTB domain containing 19	-0.516	2.791
107984952	LOC107984952	uncharacterized LOC107984952	-0.525	1.409
8643	PTCH2	patched 2	-0.672	2.097
8891	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma	0.302	3.528
79654	HECTD3	HECT domain E3 ubiquitin protein ligase 3	0.33	4.414
57643	ZSWIM5	zinc finger SWIM-type containing 5	-0.543	2.687
4595	MUTYH	mutY DNA glycosylase	-0.244	3.154
114034	TOE1	target of EGR1, exonuclease	-0.318	3.514
25974	MMACHC	metabolism of cobalamin associated C	0.357	5.931
5052	PRDX1	peroxiredoxin 1	0.443	6.278
4678	NASP	nuclear autoantigenic sperm protein	0.302	3.956
149483	CCDC17	coiled-coil domain containing 17	-0.443	2.073
51249	TMEM69	transmembrane protein 69	0.265	3.431
10103	TSPAN1	tetraspanin 1	0.393	1.591
55624	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)	0.24	2.765
541468	LURAP1	leucine rich adaptor protein 1	-0.302	1.537
8438	RAD54L	RAD54 like	-0.334	1.628
10489	LRRC41	leucine rich repeat containing 41	-0.329	7.212
7388	UQCRH	ubiquinol-cytochrome c reductase hinge protein	0.304	2.693
2166	FAAH	fatty acid amide hydrolase	0.409	2.243
100507423	MKNK1-AS1	MKNK1 antisense RNA 1	-0.305	2.935
100130197	EFCAB14-AS1	EFCAB14 antisense RNA 1	0.314	1.338
199974	CYP4Z1	cytochrome P450 family 4 subfamily Z member 1	1.111	2.16
388630	TRABD2B	TraB domain containing 2B	-0.5	1.836
79656	BEND5	BEN domain containing 5	-0.518	3.228
11124	FAF1	Fas associated factor 1	0.35	8.886
1031	CDKN2C	cyclin dependent kinase inhibitor 2C	0.483	5.804
2060	EPS15	epidermal growth factor receptor pathway substrate 15	0.181	1.583
4898	NRDC	nardilysin convertase	0.34	8.147
105378721	LOC105378721		0.176	1.593
100313892	MIR761	microRNA 761	0.539	2.299
51060	TXNDC12	thioredoxin domain containing 12	0.235	3.218
9372	ZFYVE9	zinc finger FYVE-type containing 9	0.43	9.35
200014	CC2D1B	coiled-coil and C2 domain containing 1B	0.134	1.612
23318	TUT4	terminal uridylyl transferase 4	0.369	5.649
65260	COA7	cytochrome c oxidase assembly factor 7	0.311	2.405
6342	SCP2	sterol carrier protein 2	0.158	1.444
127435	PODN	podocan	-1.308	11.462
6512	SLC1A7	solute carrier family 1 member 7	-1.637	5.524
4116	MAGOH	mago homolog, exon junction complex subunit	0.263	1.859
7804	LRP8	LDL receptor related protein 8	0.694	2.27
148979	GLIS1	GLIS family zinc finger 1	-1.941	5.203
54432	YIPF1	Yip1 domain family member 1	0.259	2.513
127428	TCEANC2	transcription elongation factor A N-terminal and central domain containing 2	0.168	1.52
23648	SSBP3	single stranded DNA binding protein 3	0.287	2.043
374977	MROH7	maestro heat like repeat family member 7	-0.605	1.832
1718	DHCR24	24-dehydrocholesterol reductase	0.631	1.893
23358	USP24	ubiquitin specific peptidase 24	0.316	3.522
115209	OMA1	OMA1 zinc metallopeptidase	0.25	2.216
