GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
10133	4.69e-13	1.54e-15	0.085	7.97381	0.6776729	5189.31	OPTN	optineurin
5348	4.69e-13	1.53e-15	0.0824	-7.97483	-0.657497	3593.57	FXYD1	FXYD domain containing ion transport regulator 1
145788	4.81e-13	1.60e-15	0.1123	7.96898	0.8952543	76.82	PIERCE2	piercer of microtubule wall 2
118813	5.14e-13	1.74e-15	0.0829	-7.95877	-0.659976	681.64	ZFYVE27	zinc finger FYVE-type containing 27
3671	5.35e-13	1.84e-15	0.1836	-7.95198	-1.4603469	762.33	ISLR	immunoglobulin superfamily containing leucine rich repeat
64771	5.55e-13	1.93e-15	0.0796	7.94552	0.6327814	5990.17	ILRUN	inflammation and lipid regulator with UBA-like and NBR1-like domains
221264	5.64e-13	2.00e-15	0.1037	7.94161	0.8236805	305.29	AK9	adenylate kinase 9
2487	5.95e-13	2.14e-15	0.2967	-7.93312	-2.3537902	561.43	FRZB	frizzled related protein
6424	6.02e-13	2.19e-15	0.4668	-7.92988	-3.7016359	624.8	SFRP4	secreted frizzled related protein 4
29774	6.44e-13	2.38e-15	0.1611	7.91986	1.2762132	30.18	POM121L9P	POM121 transmembrane nucleoporin like 9, pseudogene
84628	7.28e-13	2.73e-15	0.2183	-7.90286	-1.7251401	120.01	NTNG2	netrin G2
5493	8.70e-13	3.30e-15	0.1501	7.87894	1.182459	425.01	PPL	periplakin
80321	9.08e-13	3.50e-15	0.0571	7.8718	0.4492243	493.3	CEP70	centrosomal protein 70
89872	9.53e-13	3.72e-15	0.4437	-7.8641	-3.4895331	12.27	AQP10	aquaporin 10
101929444	9.59e-13	3.84e-15	0.1872	-7.86	-1.4714379	37.05	LOC101929444	uncharacterized LOC101929444
64102	9.59e-13	3.84e-15	0.6175	-7.86007	-4.8537718	87.77	TNMD	tenomodulin
93210	1.01e-12	4.08e-15	0.0819	-7.85252	-0.6433714	461.17	PGAP3	post-GPI attachment to proteins phospholipase 3
4338	1.04e-12	4.32e-15	0.0581	7.84541	0.4554277	2200.91	MOCS2	molybdenum cofactor synthesis 2
3931	1.04e-12	4.31e-15	0.0761	-7.84549	-0.5968345	445.65	LCAT	lecithin-cholesterol acyltransferase
7536	1.07e-12	4.50e-15	0.0508	-7.84024	-0.398362	4807.72	SF1	splicing factor 1
285908	1.11e-12	4.72e-15	0.1205	-7.83422	-0.944334	191.08	LINC00174	long intergenic non-protein coding RNA 174
107080644	1.36e-12	5.89e-15	0.1184	7.80629	0.9243713	84.62	CNPY3-GNMT	CNPY3-GNMT readthrough
147660	1.38e-12	6.04e-15	0.1041	-7.80305	-0.8123553	104.44	ZNF578	zinc finger protein 578
84067	1.84e-12	8.15e-15	0.0581	-7.76517	-0.4514985	970.91	FHIP1B	FHF complex subunit HOOK interacting protein 1B
375056	1.88e-12	8.41e-15	0.06	7.7612	0.4660163	1944.54	MIA3	MIA SH3 domain ER export factor 3
4878	1.97e-12	8.93e-15	0.6233	-7.75359	-4.8325135	33250.5	NPPA	natriuretic peptide A
23118	2.38e-12	1.09e-14	0.0805	7.72859	0.6219712	2873.06	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2
8835	3.07e-12	1.44e-14	0.1476	-7.69238	-1.1356414	717.88	SOCS2	suppressor of cytokine signaling 2
1112	3.07e-12	1.45e-14	0.0734	7.69161	0.564534	4082.08	FOXN3	forkhead box N3
115	3.07e-12	1.45e-14	0.0712	7.692	0.5474631	2247.17	ADCY9	adenylate cyclase 9
171220	3.18e-12	1.53e-14	0.0827	7.68484	0.6352676	512.59	DSTNP2	DSTN pseudogene 2
