GeneID	Symbol	Description	log10baseMean	log2FC
29889	GNL2	G protein nucleolar 2	2.955	0.299
55143	CDCA8	cell division cycle associated 8	1.133	0.97
149175	MANEAL	mannosidase endo-alpha like	1.677	-0.408
79693	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing	2.185	-0.455
105378651	LOC105378651	uncharacterized LOC105378651	0.887	-0.554
10946	SF3A3	splicing factor 3a subunit 3	3.013	0.11
2275	FHL3	four and a half LIM domains 3	2.371	0.292
51118	UTP11	UTP11 small subunit processome component	2.894	0.63
100527950	GJA9-MYCBP	GJA9-MYCBP readthrough	2.229	0.233
26292	MYCBP	MYC binding protein	2.208	0.252
54933	RHBDL2	rhomboid like 2	1.486	-0.495
105378662	LOC105378662	uncharacterized LOC105378662	1.672	-0.538
4725	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5	3.826	0.521
23499	MACF1	microtubule actin crosslinking factor 1	4.04	0.196
643314	KIAA0754	replaced by ID 23499	2.494	1.147
728448	PPIEL	peptidylprolyl isomerase E like pseudogene	2.161	-0.468
101929516	PABPC4-AS1	PABPC4 antisense RNA 1	2.536	0.27
26508	HEYL	hes related family bHLH transcription factor with YRPW motif like	3.266	-0.49
54802	TRIT1	tRNA isopentenyltransferase 1	2.727	0.29
10487	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	3.208	0.266
10269	ZMPSTE24	zinc metallopeptidase STE24	3.089	0.385
1298	COL9A2	collagen type IX alpha 2 chain	1.631	-1.266
64744	SMAP2	small ArfGAP2	2.94	-0.379
4802	NFYC	nuclear transcription factor Y subunit gamma	3.224	-0.21
163732	CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4	2.503	0.608
100507178	SLFNL1-AS1	SLFNL1 antisense RNA 1	1.882	-0.181
105378678	LOC105378678	uncharacterized LOC105378678	1.67	-0.94
59269	HIVEP3	HIVEP zinc finger 3	2.296	0.656
84217	ZMYND12	zinc finger MYND-type containing 12	1.925	-0.528
4904	YBX1	Y-box binding protein 1	4.155	0.41
374969	SVBP	small vasohibin binding protein	2.332	0.314
114625	ERMAP	erythroblast membrane associated protein (Scianna blood group)	2.471	-0.18
51058	ZNF691	zinc finger protein 691	2.372	-0.179
6513	SLC2A1	solute carrier family 2 member 1	3.085	0.538
10969	EBNA1BP2	EBNA1 binding protein 2	2.898	0.55
4352	MPL	MPL proto-oncogene, thrombopoietin receptor	1.769	-0.327
991	CDC20	cell division cycle 20	1.254	1.081
100873952	SZT2-AS1	SZT2 antisense RNA 1	1.67	-0.306
81888	HYI	hydroxypyruvate isomerase (putative)	2.439	-0.269
9682	KDM4A	lysine demethylase 4A	2.889	-0.133
101929609	LOC101929609	uncharacterized LOC101929609	2.099	0.212
55929	DMAP1	DNA methyltransferase 1 associated protein 1	2.74	-0.171
55182	RNF220	ring finger protein 220	3.066	0.371
107984950	LOC107984950	uncharacterized LOC107984950	2.407	0.764
79639	TMEM53	transmembrane protein 53	2.215	0.551
11004	KIF2C	kinesin family member 2C	1.588	0.372
1263	PLK3	polo like kinase 3	2.253	-0.545
149478	BTBD19	BTB domain containing 19	1.898	-0.516
107984952	LOC107984952	uncharacterized LOC107984952	1.328	-0.525
8643	PTCH2	patched 2	1.632	-0.672
8891	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma	3.046	0.302
79654	HECTD3	HECT domain E3 ubiquitin protein ligase 3	2.949	0.33
57643	ZSWIM5	zinc finger SWIM-type containing 5	1.995	-0.543
4595	MUTYH	mutY DNA glycosylase	2.258	-0.244
114034	TOE1	target of EGR1, exonuclease	2.203	-0.318
25974	MMACHC	metabolism of cobalamin associated C	3.142	0.357
5052	PRDX1	peroxiredoxin 1	3.549	0.443
4678	NASP	nuclear autoantigenic sperm protein	3.232	0.302
149483	CCDC17	coiled-coil domain containing 17	1.825	-0.443
51249	TMEM69	transmembrane protein 69	2.777	0.265
10103	TSPAN1	tetraspanin 1	1.451	0.393
55624	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)	3.652	0.24
541468	LURAP1	leucine rich adaptor protein 1	2.188	-0.302
8438	RAD54L	RAD54 like	1.795	-0.334
10489	LRRC41	leucine rich repeat containing 41	3.194	-0.329
7388	UQCRH	ubiquinol-cytochrome c reductase hinge protein	3.955	0.304
2166	FAAH	fatty acid amide hydrolase	1.853	0.409
100507423	MKNK1-AS1	MKNK1 antisense RNA 1	1.758	-0.305
100130197	EFCAB14-AS1	EFCAB14 antisense RNA 1	1.528	0.314
199974	CYP4Z1	cytochrome P450 family 4 subfamily Z member 1	1.159	1.111
388630	TRABD2B	TraB domain containing 2B	2.024	-0.5
79656	BEND5	BEN domain containing 5	1.942	-0.518
11124	FAF1	Fas associated factor 1	3.307	0.35
1031	CDKN2C	cyclin dependent kinase inhibitor 2C	2.603	0.483
2060	EPS15	epidermal growth factor receptor pathway substrate 15	3.391	0.181
4898	NRDC	nardilysin convertase	3.691	0.34
105378721	LOC105378721		2.256	0.176
100313892	MIR761	microRNA 761	1.059	0.539
51060	TXNDC12	thioredoxin domain containing 12	2.95	0.235
9372	ZFYVE9	zinc finger FYVE-type containing 9	2.935	0.43
200014	CC2D1B	coiled-coil and C2 domain containing 1B	2.923	0.134
23318	TUT4	terminal uridylyl transferase 4	3.038	0.369
65260	COA7	cytochrome c oxidase assembly factor 7	2.714	0.311
6342	SCP2	sterol carrier protein 2	3.54	0.158
127435	PODN	podocan	3.203	-1.308
6512	SLC1A7	solute carrier family 1 member 7	1.886	-1.637
4116	MAGOH	mago homolog, exon junction complex subunit	2.549	0.263
7804	LRP8	LDL receptor related protein 8	1.982	0.694
148979	GLIS1	GLIS family zinc finger 1	1.292	-1.941
54432	YIPF1	Yip1 domain family member 1	2.632	0.259
127428	TCEANC2	transcription elongation factor A N-terminal and central domain containing 2	2.561	0.168
23648	SSBP3	single stranded DNA binding protein 3	3.113	0.287
374977	MROH7	maestro heat like repeat family member 7	2.575	-0.605
1718	DHCR24	24-dehydrocholesterol reductase	2.911	0.631
23358	USP24	ubiquitin specific peptidase 24	3.45	0.316
115209	OMA1	OMA1 zinc metallopeptidase	2.901	0.25
114803	MYSM1	Myb like, SWIRM and MPN domains 1	3.087	0.311
3725	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	3.592	-0.793
51361	HOOK1	hook microtubule tethering protein 1	2.071	1.639
1573	CYP2J2	cytochrome P450 family 2 subfamily J member 2	3.594	-0.574
100996570	NFIA-AS2	NFIA antisense RNA 2	1.19	-1.755
4774	NFIA	nuclear factor I A	3.309	-0.232
85440	DOCK7	dedicator of cytokinesis 7	2.696	0.245
84455	EFCAB7	EF-hand calcium binding domain 7	2.463	0.231
4919	ROR1	receptor tyrosine kinase like orphan receptor 1	2.83	-0.434
55225	RAVER2	ribonucleoprotein, PTB binding 2	3.165	0.44
3716	JAK1	Janus kinase 1	3.797	0.67
3953	LEPR	leptin receptor	2.506	-0.665
57708	MIER1	MIER1 transcriptional regulator	2.841	-0.285
23169	SLC35D1	solute carrier family 35 member D1	2.668	-0.354
3595	IL12RB2	interleukin 12 receptor subunit beta 2	1.398	-0.374
26135	SERBP1	SERPINE1 mRNA binding protein 1	3.665	0.164
1647	GADD45A	growth arrest and DNA damage inducible alpha	3.15	-0.633
100289178	GNG12-AS1	GNG12, DIRAS3 and WLS antisense RNA 1	1.7	-0.25
9077	DIRAS3	DIRAS family GTPase 3	2.687	-1.118
79971	WLS	Wnt ligand secretion mediator	3.397	-0.363
55635	DEPDC1	DEP domain containing 1	0.994	1.172
57554	LRRC7	leucine rich repeat containing 7	1.664	1.504
81573	ANKRD13C	ankyrin repeat domain 13C	2.653	0.155
5733	PTGER3	prostaglandin E receptor 3	1.602	0.873
105378803	LRRC53	leucine rich repeat containing 53	1.942	0.416
127253	TYW3	tRNA-yW synthesizing protein 3 homolog	3.004	0.208
26805	SNORD45A	small nucleolar RNA, C/D box 45A	1.071	0.666
4438	MSH4	mutS homolog 4	1.3	-0.92
26289	AK5	adenylate kinase 5	1.242	-0.964
374987	NEXN-AS1	NEXN antisense RNA 1	2.374	0.711
10964	IFI44L	interferon induced protein 44 like	2.892	-1.058
23266	ADGRL2	adhesion G protein-coupled receptor L2	3.424	0.339
79739	TTLL7	tubulin tyrosine ligase like 7	2.469	-0.753
80135	RPF1	ribosome production factor 1 homolog	2.989	0.296
2787	GNG5	G protein subunit gamma 5	3.478	0.351
102724892	LOC102724892	uncharacterized LOC102724892	1.635	1.253
23566	LPAR3	lysophosphatidic acid receptor 3	2.57	0.638
8915	BCL10	BCL10 immune signaling adaptor	2.269	-0.216
23576	DDAH1	dimethylarginine dimethylaminohydrolase 1	2.925	-0.669
107985054	LOC107985054		1.011	-0.757
3491	CCN1	cellular communication network factor 1	3.494	-1.389
105378827	LOC105378827	uncharacterized LOC105378827	1.426	-0.712
51100	SH3GLB1	SH3 domain containing GRB2 like, endophilin B1	3.709	0.454
9653	HS2ST1	heparan sulfate 2-O-sulfotransferase 1	2.786	-0.277
8543	LMO4	LIM domain only 4	2.961	0.332
56267	KYAT3	kynurenine aminotransferase 3	2.439	0.225
2635	GBP3	guanylate binding protein 3	2.452	0.448
2633	GBP1	guanylate binding protein 1	2.575	0.521
2634	GBP2	guanylate binding protein 2	2.731	0.572
112268267	LOC112268267	uncharacterized LOC112268267	2.043	0.62
400761	LRRC8C-DT	LRRC8C divergent transcript	1.595	-0.388
492303	GEMIN8P4	gem nuclear organelle associated protein 8 pseudogene 4	1.526	0.558
105378853	LINC02609	long intergenic non-protein coding RNA 2609	1.958	0.74
84146	ZNF644	zinc finger protein 644	2.887	0.262
8317	CDC7	cell division cycle 7	1.592	0.804
646817	SETSIP	SET like protein	1.851	0.287
11146	GLMN	glomulin, FKBP associated protein	2.261	-0.202
79871	RPAP2	RNA polymerase II associated protein 2	2.734	0.226
2672	GFI1	growth factor independent 1 transcriptional repressor	1.079	-0.904
7813	EVI5	ecotropic viral integration site 5	2.806	-0.31
388650	DIPK1A	divergent protein kinase domain 1A	2.389	0.41
30836	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2	3.123	0.212
2730	GCLM	glutamate-cysteine ligase modifier subunit	2.557	0.414
24	ABCA4	ATP binding cassette subfamily A member 4	0.955	-0.599
9411	ARHGAP29	Rho GTPase activating protein 29	3.216	0.293
101928079	SLC44A3-AS1	SLC44A3 antisense RNA 1	1.773	0.554
1266	CNN3	calponin 3	3.411	-0.271
105378862	LOC105378862	replaced by ID 729970	1.31	-0.822
729970	CNN3-DT	CNN3 divergent transcript	2.264	-0.334
51375	SNX7	sorting nexin 7	2.714	0.486
54873	PALMD	palmdelphin	3.673	0.368
391059	FRRS1	ferric chelate reductase 1	2.294	-0.688
178	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	3.443	0.444
54482	TRMT13	tRNA methyltransferase 13 homolog	2.982	0.401
127495	LRRC39	leucine rich repeat containing 39	3.551	0.755
1629	DBT	dihydrolipoamide branched chain transacylase E2	3.371	0.228
8634	RTCA	RNA 3'-terminal phosphate cyclase	3.059	0.35
148867	SLC30A7	solute carrier family 30 member 7	2.244	-0.327
102606465	DPH5-DT	DPH5 divergent transcript	2.038	-0.322
101928370	S1PR1-DT	S1PR1 divergent transcript	1.859	-0.566
1901	S1PR1	sphingosine-1-phosphate receptor 1	3.438	-0.377
280	AMY2B	amylase alpha 2B	2.851	-0.349
29957	SLC25A24	solute carrier family 25 member 24	2.798	0.314
55119	PRPF38B	pre-mRNA processing factor 38B	3.093	0.216
29899	GPSM2	G protein signaling modulator 2	2.548	0.228
23155	CLCC1	chloride channel CLIC like 1	2.956	0.212
56900	TMEM167B	transmembrane protein 167B	3.141	-0.336
6301	SARS1	seryl-tRNA synthetase 1	3.454	0.283
1952	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	2.685	0.539
343263	MYBPHL	myosin binding protein H like	1.043	1.198
6272	SORT1	sortilin 1	3.918	-0.301
284612	SYPL2	synaptophysin like 2	3.05	0.275
284613	CYB561D1	cytochrome b561 family member D1	2.427	-0.212
57463	AMIGO1	adhesion molecule with Ig like domain 1	2.941	0.284
2780	GNAT2	G protein subunit alpha transducin 2	1.303	0.743
2948	GSTM4	glutathione S-transferase mu 4	2.932	0.496
2949	GSTM5	glutathione S-transferase mu 5	2.147	-0.703
2947	GSTM3	glutathione S-transferase mu 3	3.354	0.643
1435	CSF1	colony stimulating factor 1	2.831	0.26
10768	AHCYL1	adenosylhomocysteinase like 1	3.431	0.276
3749	KCNC4	potassium voltage-gated channel subfamily C member 4	2.675	-0.589
10542	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	3.314	0.175
101410535	LAMTOR5-AS1	LAMTOR5 antisense RNA 1	0.984	-0.831
